Treat,rep,inv.sp,res.sp,res.div,inv.t0,res.t0,inv.count,res.count
1,a,OD,AA,1,26666.66667,2666666.667,226,306
1,b,OD,AA,1,26666.66667,2666666.667,216,270
1,c,OD,AA,1,26666.66667,2666666.667,232,372
1,d,OD,AA,1,26666.66667,2666666.667,252,396
1,e,OD,AA,1,26666.66667,2666666.667,182,276
1,f,OD,AA,1,26666.66667,2666666.667,276,406
2,a,OD,PC,1,26666.66667,2666666.667,110,362
2,b,OD,PC,1,26666.66667,2666666.667,102,364
2,c,OD,PC,1,26666.66667,2666666.667,82,248
2,d,OD,PC,1,26666.66667,2666666.667,110,288
2,e,OD,PC,1,26666.66667,2666666.667,110,232
2,f,OD,PC,1,26666.66667,2666666.667,98,214
3,a,OD,VG,1,26666.66667,2666666.667,350,216
3,b,OD,VG,1,26666.66667,2666666.667,326,108
3,c,OD,VG,1,26666.66667,2666666.667,364,116
3,d,OD,VG,1,26666.66667,2666666.667,340,82
3,e,OD,VG,1,26666.66667,2666666.667,210,28
3,f,OD,VG,1,26666.66667,2666666.667,128,38
4,a,OD,SR,1,26666.66667,2666666.667,272,806
4,b,OD,SR,1,26666.66667,2666666.667,206,664
4,c,OD,SR,1,26666.66667,2666666.667,294,990
4,d,OD,SR,1,26666.66667,2666666.667,254,676
4,e,OD,SR,1,26666.66667,2666666.667,288,984
4,f,OD,SR,1,26666.66667,2666666.667,464,276
5,a,AA,PC,1,26666.66667,2666666.667,60,118
5,b,AA,PC,1,26666.66667,2666666.667,68,114
5,c,AA,PC,1,26666.66667,2666666.667,68,138
5,d,AA,PC,1,26666.66667,2666666.667,72,166
5,e,AA,PC,1,26666.66667,2666666.667,72,200
5,f,AA,PC,1,26666.66667,2666666.667,114,74
6,a,AA,VG,1,26666.66667,2666666.667,230,56
6,b,AA,VG,1,26666.66667,2666666.667,210,62
6,c,AA,VG,1,26666.66667,2666666.667,336,38
6,d,AA,VG,1,26666.66667,2666666.667,188,46
6,e,AA,VG,1,26666.66667,2666666.667,322,44
6,f,AA,VG,1,26666.66667,2666666.667,216,24
7,a,AA,SR,1,26666.66667,2666666.667,180,822
7,b,AA,SR,1,26666.66667,2666666.667,192,1048
7,c,AA,SR,1,26666.66667,2666666.667,184,1048
7,d,AA,SR,1,26666.66667,2666666.667,196,896
7,e,AA,SR,1,26666.66667,2666666.667,392,1188
7,f,AA,SR,1,26666.66667,2666666.667,448,1412
8,a,PC,VG,1,26666.66667,2666666.667,114,248
8,b,PC,VG,1,26666.66667,2666666.667,118,240
8,c,PC,VG,1,26666.66667,2666666.667,58,192
8,d,PC,VG,1,26666.66667,2666666.667,70,210
8,e,PC,VG,1,26666.66667,2666666.667,138,240
8,f,PC,VG,1,26666.66667,2666666.667,108,194
9,a,PC,SR,1,26666.66667,2666666.667,190,694
9,b,PC,SR,1,26666.66667,2666666.667,210,636
9,c,PC,SR,1,26666.66667,2666666.667,224,628
9,d,PC,SR,1,26666.66667,2666666.667,148,650
9,e,PC,SR,1,26666.66667,2666666.667,72,626
9,f,PC,SR,1,26666.66667,2666666.667,168,810
10,a,VG,SR,1,26666.66667,2666666.667,62,540
10,b,VG,SR,1,26666.66667,2666666.667,46,596
10,c,VG,SR,1,26666.66667,2666666.667,40,734
10,d,VG,SR,1,26666.66667,2666666.667,38,572
10,e,VG,SR,1,26666.66667,2666666.667,48,834
10,f,VG,SR,1,26666.66667,2666666.667,50,800
11,a,AA,OD,1,26666.66667,2666666.667,110,202
11,b,AA,OD,1,26666.66667,2666666.667,86,204
11,c,AA,OD,1,26666.66667,2666666.667,210,242
11,d,AA,OD,1,26666.66667,2666666.667,148,282
11,e,AA,OD,1,26666.66667,2666666.667,154,162
11,f,AA,OD,1,26666.66667,2666666.667,112,156
12,a,PC,OD,1,26666.66667,2666666.667,84,288
12,b,PC,OD,1,26666.66667,2666666.667,146,214
12,c,PC,OD,1,26666.66667,2666666.667,24,262
12,d,PC,OD,1,26666.66667,2666666.667,54,324
12,e,PC,OD,1,26666.66667,2666666.667,44,270
12,f,PC,OD,1,26666.66667,2666666.667,92,362
13,a,VG,OD,1,26666.66667,2666666.667,194,284
13,b,VG,OD,1,26666.66667,2666666.667,270,178
13,c,VG,OD,1,26666.66667,2666666.667,288,222
13,d,VG,OD,1,26666.66667,2666666.667,258,116
13,e,VG,OD,1,26666.66667,2666666.667,256,130
13,f,VG,OD,1,26666.66667,2666666.667,288,200
14,a,SR,OD,1,26666.66667,2666666.667,768,230
14,b,SR,OD,1,26666.66667,2666666.667,820,380
14,c,SR,OD,1,26666.66667,2666666.667,744,396
14,d,SR,OD,1,26666.66667,2666666.667,968,214
14,e,SR,OD,1,26666.66667,2666666.667,600,332
14,f,SR,OD,1,26666.66667,2666666.667,680,512
15,a,PC,AA,1,26666.66667,2666666.667,126,214
15,b,PC,AA,1,26666.66667,2666666.667,96,160
15,c,PC,AA,1,26666.66667,2666666.667,114,162
15,d,PC,AA,1,26666.66667,2666666.667,106,156
15,e,PC,AA,1,26666.66667,2666666.667,160,200
15,f,PC,AA,1,26666.66667,2666666.667,166,194
16,a,VG,AA,1,26666.66667,2666666.667,204,572
16,b,VG,AA,1,26666.66667,2666666.667,130,268
16,c,VG,AA,1,26666.66667,2666666.667,126,538
16,d,VG,AA,1,26666.66667,2666666.667,60,356
16,e,VG,AA,1,26666.66667,2666666.667,62,508
16,f,VG,AA,1,26666.66667,2666666.667,102,532
17,a,SR,AA,1,26666.66667,2666666.667,636,116
