"focal_spp","n_spp","other_spp","prop_mean","long_term_abundance"
"a",2,"o",0.47718385268006,602962962.962963
"o",2,"a",0.52281614731994,651481481.481481
"a",2,"v",0.70723962292428,478518518.518518
"v",2,"a",0.29276037707572,164444444.444444
"a",3,"ov",0.277657266368573,191481481.481481
"o",3,"av",0.618557488817366,397037037.037037
"v",3,"ao",0.103785244814061,64444444.4444444
"a",2,"p",0.585489636585473,315185185.185185
"p",2,"a",0.414510363414527,234814814.814815
"a",3,"op",0.332386129730929,229629629.62963
"o",3,"ap",0.3926339523696,262592592.592593
"p",3,"ao",0.274979917899471,160370370.37037
"a",3,"pv",0.41387598307797,264444444.444444
"p",3,"av",0.32633891220075,211111111.111111
"v",3,"ap",0.25978510472128,167777777.777778
"a",4,"opv",0.0837315052325479,39629629.6296296
"o",4,"apv",0.404812971129184,192592592.592593
"p",4,"aov",0.260749030451022,1.2e+08
"v",4,"aop",0.250706493187246,117407407.407407
"o",2,"p",0.561344797165748,292592592.592593
"p",2,"o",0.438655202834252,226296296.296296
"p",2,"s",0.175446183611362,176666666.666667
"s",2,"p",0.824553816388638,825925925.925926
"a",3,"ps",0.278621908968209,421481481.481481
"p",3,"as",0.0633105189577489,105925925.925926
"s",3,"ap",0.658067572074042,1037777777.77778
"a",4,"ops",0.326288943442801,480740740.740741
"o",4,"aps",0.161951923221726,252222222.222222
"p",4,"aos",0.0387433430471804,56296296.2962963
"s",4,"aop",0.473015790288292,776296296.296296
"a",4,"psv",0.262879237982787,395925925.925926
"p",4,"asv",0.0479601587759567,73703703.7037037
"s",4,"apv",0.560574936980463,852592592.592592
"v",4,"aps",0.128585666260793,206296296.296296
"a",5,"opsv",0.184407274322417,195185185.185185
"o",5,"apsv",0.197869886979188,2.05e+08
"p",5,"aosv",0.0952764343392674,9.5e+07
"s",5,"aopv",0.367646794830979,391111111.111111
"v",5,"aops",0.154799609528149,173703703.703704
"o",3,"ps",0.182876039086306,279629629.62963
"p",3,"os",0.0911269764026221,127037037.037037
"s",3,"op",0.725996984511072,1112592592.59259
"p",3,"sv",0.073704716306378,102222222.222222
"s",3,"pv",0.726934643312792,1031111111.11111
"v",3,"ps",0.19936064038083,307777777.777778
"o",4,"psv",0.184402090607586,193703703.703704
"p",4,"osv",0.085476412876476,89259259.2592593
"s",4,"opv",0.492325204777777,513703703.703704
"v",4,"ops",0.237796291738161,242962962.962963
"p",2,"v",0.492504398376008,235555555.555556
"v",2,"p",0.507495601623992,225185185.185185
"o",3,"pv",0.36439006159419,165925925.925926
"p",3,"ov",0.280850869561428,126296296.296296
"v",3,"op",0.354759068844382,167407407.407407
"a",2,"s",0.256862316374873,623703703.703704
"s",2,"a",0.743137683625127,1797777777.77778
"a",3,"os",0.393775663480491,656296296.296296
"o",3,"as",0.166814063841714,284444444.444444
"s",3,"ao",0.439410272677795,760740740.740741
"a",3,"sv",0.371112146954391,477407407.407407
"s",3,"av",0.535441416097623,692222222.222222
"v",3,"as",0.0934464369479854,119629629.62963
"a",4,"osv",0.380252630868167,352592592.592593
"o",4,"asv",0.222787183725359,208148148.148148
"s",4,"aov",0.301082643378716,276296296.296296
"v",4,"aos",0.095877542027758,87777777.7777778
"o",2,"s",0.294270168750995,607777777.777778
"s",2,"o",0.705729831249005,1.47e+09
"s",2,"v",0.895505761422892,1037037037.03704
"v",2,"s",0.104494238577108,120370370.37037
"o",3,"sv",0.420388799848569,348888888.888889
"s",3,"ov",0.390158083065219,327407407.407407
"v",3,"os",0.189453117086212,157777777.777778
"o",2,"v",0.744571952944603,542222222.222222
"v",2,"o",0.255428047055397,196296296.296296
