"week","label","rep","n_spp","tot_abund","carrying_capacity","log10_carrying_capacity"
2,"psavo",7,5,334,1113333333.33333,9.0466252120919
2,"psavo",8,5,248,826666666.666667,8.91733042610655
2,"psavo",9,5,391,1303333333.33333,9.1150555026762
2,"psavo",10,5,334,1113333333.33333,9.0466252120919
2,"psavo",11,5,311,1036666666.66667,9.01563913430718
2,"psavo",12,5,494,1646666666.66667,9.21660569420398
2,"pavo",4,4,0,0,-Inf
2,"pavo",5,4,165,5.5e+08,8.74036268949424
2,"pavo",6,4,174,5.8e+08,8.76342799356294
2,"psvo",4,4,353,1176666666.66667,9.07065345066816
2,"psvo",5,4,302,1006666666.66667,9.00288568823749
2,"psvo",6,4,333,1.11e+09,9.04532297878666
2,"psao",4,4,582,1.94e+09,9.28780172993023
2,"psao",5,4,506,1686666666.66667,9.22702926212014
2,"psao",6,4,618,2.06e+09,9.31386722036915
2,"psav",4,4,451,1503333333.33333,9.1770552871583
2,"psav",5,4,522,1.74e+09,9.2405492482826
2,"psav",6,4,500,1666666666.66667,9.22184874961636
2,"pvo",4,3,164,546666666.666667,8.73772259332804
2,"pvo",5,3,177,5.9e+08,8.77085201164214
2,"pvo",6,3,157,523333333.333333,8.71877839768957
2,"pao",4,3,221,736666666.666667,8.86727101896545
2,"pao",5,3,177,5.9e+08,8.77085201164214
2,"pao",6,3,190,633333333.333333,8.80163234623317
2,"pav",4,3,170,566666666.666667,8.75332766665861
2,"pav",5,3,192,6.4e+08,8.80617997398389
2,"pav",6,3,174,5.8e+08,8.76342799356294
2,"pso",4,3,678,2.26e+09,9.3541084391474
2,"pso",5,3,489,1.63e+09,9.21218760440396
2,"pso",6,3,523,1743333333.33333,9.24138043414761
2,"psv",4,3,364,1213333333.33333,9.08398012892939
2,"psv",5,3,368,1226666666.66667,9.08872656395386
2,"psv",6,3,355,1183333333.33333,9.07310709833543
2,"psa",4,3,517,1723333333.33333,9.23636928837428
2,"psa",5,3,545,1816666666.66667,9.25927524755698
2,"psa",6,3,506,1686666666.66667,9.22702926212014
2,"po",4,2,188,626666666.666667,8.79703659454402
2,"po",5,2,145,483333333.333333,8.68424674751531
2,"po",6,2,174,5.8e+08,8.76342799356294
2,"pv",4,2,179,596666666.666667,8.77573177626023
2,"pv",5,2,155,516666666.666667,8.71321044345063
2,"pv",6,2,157,523333333.333333,8.71877839768957
2,"pa",4,2,190,633333333.333333,8.80163234623317
2,"pa",5,2,204,6.8e+08,8.83250891270624
2,"pa",6,2,180,6e+08,8.77815125038364
2,"ps",4,2,461,1536666666.66667,9.18657967066999
2,"ps",5,2,442,1473333333.33333,9.16830101462943
2,"ps",6,2,0,0,-Inf
2,"p",4,1,0,0,-Inf
2,"p",5,1,0,0,-Inf
2,"p",6,1,0,0,-Inf
3,"psavo",13,5,261,8.7e+08,8.93951925261862
3,"psavo",14,5,228,7.6e+08,8.88081359228079
3,"psavo",15,5,265,883333333.333333,8.94612461921715
3,"psavo",16,5,297,9.9e+08,8.99563519459755
3,"psavo",17,5,297,9.9e+08,8.99563519459755
3,"psavo",18,5,347,1156666666.66667,9.06320822007121
3,"pavo",7,4,146,486666666.666667,8.68723160106478
3,"pavo",8,4,189,6.3e+08,8.79934054945358
3,"pavo",9,4,180,6e+08,8.77815125038364
3,"psvo",7,4,339,1.13e+09,9.05307844348342
3,"psvo",8,4,291,9.7e+08,8.98677173426625
3,"psvo",9,4,311,1036666666.66667,9.01563913430718
3,"psao",7,4,443,1476666666.66667,9.16928247150341
3,"psao",8,4,499,1663333333.33333,9.22097929090373
3,"psao",9,4,534,1.78e+09,9.2504200023089
3,"psav",7,4,489,1.63e+09,9.21218760440396
3,"psav",8,4,497,1656666666.66667,9.21923513401367
3,"psav",9,4,366,1.22e+09,9.08635983067475
3,"pvo",7,3,214,713333333.333333,8.85329251862953
3,"pvo",8,3,134,446666666.666667,8.64998354364515
3,"pvo",9,3,150,5e+08,8.69897000433602
3,"pao",7,3,115,383333333.333333,8.58357658563395
3,"pao",8,3,380,1266666666.66667,9.10266234189715
3,"pao",9,3,138,4.6e+08,8.66275783168157
3,"pav",7,3,217,723333333.333333,8.85933847912887
3,"pav",8,3,219,7.3e+08,8.86332286012046
3,"pav",9,3,233,776666666.666667,8.89023466630636
3,"pso",7,3,453,1.51e+09,9.17897694729317
3,"pso",8,3,366,1.22e+09,9.08635983067475
3,"pso",9,3,411,1.37e+09,9.13672056715641
3,"psv",7,3,601,2003333333.33333,9.30175321728308
3,"psv",8,3,383,1276666666.66667,9.10607751924896
3,"psv",9,3,634,2113333333.33333,9.32496800316207
3,"psa",7,3,508,1693333333.33333,9.22874245756426
3,"psa",8,3,484,1613333333.33333,9.20772410692475
3,"psa",9,3,542,1806666666.66667,9.25687803181872
3,"po",7,2,131,436666666.666667,8.6401500409361
3,"po",8,2,204,6.8e+08,8.83250891270624
3,"po",9,2,143,476666666.666667,8.6782147827454
3,"pv",7,2,148,493333333.333333,8.6931404606753
3,"pv",8,2,88,293333333.333333,8.46736141743051
